"X1","X2","X3","X4"
"Voter Registration and Turnout","Voter Registration and Turnout","Voter Registration and Turnout","Voter Registration and Turnout"
"County","Voter Reg","Turnout","%Turnout"
"Alachua","177,947","130,979","73.6%"
"Baker","15,147","12,767","84.3%"
"Bay","118,016","88,708","75.2%"
"Bradford","16,042","12,231","76.2%"
"Brevard","412,032","320,627","77.8%"
"Broward","1,179,255","843,767","71.6%"
"Calhoun","8,596","6,197","72.1%"
"Charlotte","128,332","98,173","76.5%"
"Citrus","105,696","80,973","76.6%"
"Clay","146,641","107,838","73.5%"
"Collier","200,707","174,500","86.9%"
"Columbia","37,385","29,016","77.6%"
"Desoto","15,884","10,993","69.2%"
"Dixie","9,923","7,282","73.4%"
"Duval","588,121","438,942","74.6%"
"Escambia","210,039","155,218","73.9%"
"Flagler","79,281","58,402","73.7%"
"Franklin","7,229","6,108","84.5%"
"Gadsden","29,584","22,335","75.5%"
"Gilchrist","11,423","8,516","74.6%"
"Glades","6,611","4,414","66.8%"
"Gulf","10,210","7,375","72.2%"
"Hamilton","8,086","5,530","68.4%"
"Hardee","11,720","7,700","65.7%"
"Hendry","17,477","11,266","64.5%"
"Hernando","130,639","95,324","73.0%"
"Highlands","61,603","46,382","75.3%"
"Hillsborough","849,838","608,263","71.6%"
"Holmes","11,230","8,622","76.8%"
"Indian River","106,647","81,716","76.6%"
"Jackson","28,952","21,287","73.5%"
"Jefferson","9,506","7,753","81.6%"
"Lafayette","4,465","3,439","77.0%"
"Lake","222,432","173,231","77.9%"
"Lee","423,938","332,836","78.5%"
"Leon","206,335","155,055","75.1%"
"Levy","26,833","19,603","73.1%"
"Liberty","4,497","3,349","74.5%"
"Madison","11,567","8,601","74.4%"
"Manatee","231,076","182,178","78.8%"
"Marion","230,841","177,168","76.7%"
"Martin","110,935","87,535","78.9%"
"Miami-Dade","1,379,230","998,605","72.4%"
"Monroe","54,749","43,355","79.2%"
"Nassau","61,292","47,262","77.1%"
"Okaloosa","135,678","102,675","75.7%"
"Okeechobee","20,008","13,859","69.3%"
"Orange","776,488","556,134","71.6%"
"Osceola","196,326","142,700","72.7%"
"Palm Beach","901,642","672,607","74.6%"
"Pasco","336,040","244,950","72.9%"
"Pinellas","648,791","502,113","77.4%"
"Polk","407,653","289,068","70.9%"
"Putnam","47,423","33,488","70.6%"
"Santa Rosa","130,840","89,104","68.1%"
"Sarasota","301,926","233,438","77.3%"
"Seminole","291,964","229,231","78.5%"
"St. Johns","173,203","138,664","80.1%"
"St. Lucie","194,368","143,057","73.6%"
"Sumter","92,153","77,811","84.4%"
"Suwannee","26,422","18,904","71.5%"
"Taylor","12,303","9,408","76.5%"
"Union","7,256","5,755","79.3%"
"Volusia","363,438","265,202","73.0%"
"Wakulla","20,045","15,527","77.5%"
"Walton","46,645","34,080","73.1%"
"Washington","15,172","11,293","74.4%"
"Total","12,863,773","9,580,489","74.5%"
