OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County,State,PUIsTotal*,PUIAge_0_4*,PUIAge_5_14*,PUIAge_15_24*,PUIAge_25_34*,PUIAge_35_44*,PUIAge_45_54*,PUIAge_55_64*,PUIAge_65_74*,PUIAge_75_84*,PUIAge_85plus*,PUIAge_Unkn*,PUIAgeRange*,PUIAgeMedian*,PUIFemale*,PUIMale*,PUISexUnkn*,PUIFLRes*,PUINotFLRes*,PUIFLResOut*,PUIContNo*,PUIContUnkn*,PUIAgeAvrg*,PUITravelNo*,PUITravelYes*,PUI_TPositive*,PUI_TNegative*,PUI_TInconc*,PUI_TPending*,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,PUI_EverMon*,PUI_MonNow*,Shape__Area,Shape__Length,GlobalID,New Cases,New Negative cases,New Total Tested Today,New Percent Positivity,MedianAge
22,22,10,019,CLAY,Clay,FL,18522,299,1090,2426,2327,2782,3038,2817,2066,1182,468,27,0 to 102,46,10013,8166,343,18485,37,0,2171,10019,130,5411,301,8962,9522,2,36,18447,8503,438,18,2,4644,4157,140,8941,100,423,1345,1295,1489,1547,1299,785,469,208,1,0 to 102,43,5473,1212,666,1590,784,6169,1988,1317,3,524,3,0,165,8961,4166,4655,8941,20,0,60175,17,69193,60192,8961,165,7442,7408,1667659896.51059,183856.484298748,d8b9952e-371d-460f-96ae-4666bdb4ad84,94,990,1084,0.0867158671586716,43
23,23,25,049,HARDEE,Hardee,FL,3382,144,458,592,553,437,461,349,231,119,38,0,0 to 95,33,1740,1617,25,3372,10,0,113,915,2,2504,45,1851,1526,1,4,3367,1274,569,7,1,917,918,8,1843,47,162,358,340,277,290,192,113,60,12,0,0 to 93,35,1314,135,255,139,1039,644,160,232,4,156,5,1,20,1851,924,919,1843,8,0,8074,2,9935,8076,1851,20,3058,2958,1653184151.65315,165534.73009074,30dcfc30-6a6d-4712-9819-f2940d3f56ed,13,108,121,0.107438016528926,35
24,24,42,083,MARION,Marion,FL,34293,494,1747,3580,4586,4594,4860,5150,4887,3107,1270,18,0 to 168,49,20306,13907,80,34206,87,0,6087,13272,177,16560,392,14598,19632,1,62,34144,13813,733,51,1,8409,6093,44,14546,175,649,1828,2425,2386,2218,1990,1536,927,460,4,0 to 106,44,9804,2382,1176,1184,2011,10899,1636,1882,9,1207,3,0,413,14598,6117,8435,14546,52,0,86922,34,101677,86956,14598,413,8883,8722,4305055841.62241,350920.190673371,76cc1b01-df08-469d-a322-71f8d05597d9,174,1368,1542,0.11284046692607,43
25,25,64,127,VOLUSIA,Volusia,FL,39973,557,1499,4338,5002,4766,5780,7091,6085,3241,1526,88,0 to 119,51,21922,17500,551,39676,297,0,3155,26289,230,12835,668,18239,21615,0,119,39557,16907,1121,203,8,9450,8426,152,18028,232,792,2938,2876,2406,2672,2659,1993,1086,577,8,0 to 104,44,9830,2079,3214,2905,2797,10820,4411,2019,34,1175,18,4,389,18239,8530,9551,18028,211,0,127246,87,145707,127333,18239,389,9733,9119,3125661534.15881,560414.737839251,3b926974-437e-4986-9bff-d87d276166f4,193,2537,2730,0.0706959706959707,44
26,26,15,029,DIXIE,Dixie,FL,1917,43,124,195,246,357,255,282,237,125,52,1,0 to 118,44,928,985,4,1914,3,0,121,715,6,1149,25,996,921,0,0,1914,871,122,1,2,397,596,0,993,10,47,107,148,201,147,146,119,55,16,0,0 to 91,43,744,192,35,22,55,901,37,106,0,67,0,0,11,996,597,399,993,3,0,5231,1,6240,5232,996,11,1057,1002,1823798262.39212,235232.973119088,2691daeb-cc0b-4abc-a209-fe46ce33086c,3,46,49,0.0612244897959184,44
27,27,35,069,LAKE,Lake,FL,27907,547,1200,2715,3312,3354,3779,4289,4315,2924,1062,410,0 to 103,52,14862,12227,818,27667,240,0,2521,19540,222,7694,321,11985,15712,1,209,27459,11656,208,119,2,6193,5474,197,11864,213,555,1655,1836,1718,1759,1656,1344,873,371,5,0 to 103,44,5618,1273,2103,2870,2029,6621,3214,1387,24,889,17,3,267,11985,5529,6257,11864,121,0,106143,121,118357,106264,11985,267,6670,6382,2995995460.71371,331014.242454318,9712f6a1-e709-4877-97e2-3fe2eada2b79,185,1692,1877,0.0985615343633458,44
28,28,38,075,LEVY,Levy,FL,3748,104,323,518,471,408,500,606,432,283,99,4,0 to 118,46,2077,1658,13,3740,8,0,349,1608,16,2082,56,1558,2189,0,1,3739,1330,221,4,3,807,740,4,1551,32,115,262,224,190,237,234,154,89,20,1,0 to 99,42,976,257,200,118,269,1134,148,150,0,115,0,0,16,1558,745,809,1551,7,0,10148,1,11715,10149,1558,16,2640,2591,2900663690.96646,339394.964008615,e8b9fc01-e14c-4049-babc-f4aa93256ea0,16,142,158,0.10126582278481,42
29,29,60,119,SUMTER,Sumter,FL,8024,57,173,365,588,678,743,1113,2460,1528,260,59,0 to 119,66,3887,3989,148,7929,95,0,635,4614,164,3302,295,3947,4041,0,36,7893,3578,347,17,5,1717,2163,45,3925,13,91,248,392,482,465,566,964,573,134,19,0 to 101,60,2176,520,199,1030,184,2396,1345,511,2,349,0,0,102,3947,2172,1730,3925,22,0,32158,72,36208,32230,3947,102,1921,1909,1502516062.89801,229328.389599522,a985ccbc-ba3e-4854-acdf-8e9cd885e5aa,50,469,519,0.0963391136801541,56
30,30,59,117,SEMINOLE,Seminole,FL,32936,639,1749,4732,4980,4708,4968,4681,3493,1742,1034,210,0 to 119,44,18108,14481,347,32809,127,0,2689,22006,246,8610,339,14982,17696,1,257,32553,14719,169,93,1,7793,6916,179,14888,239,683,3004,2826,2263,2177,1717,1006,560,501,6,0 to 108,38,9282,1699,2068,1839,3747,9171,1970,1397,10,860,4,1,294,14982,6954,7843,14888,94,0,108508,35,123598,108543,14982,294,10863,10623,893350621.597626,158549.770327082,5a9b725e-b5bc-4433-a9c5-f30390148c62,211,1907,2118,0.0996222851746931,38
31,31,48,095,ORANGE,Orange,FL,120471,2468,4783,16714,22222,20048,18941,16583,10582,5067,2119,944,0 to 120,41,64046,55072,1353,119173,1297,1,9160,85693,585,24710,1175,62522,57660,4,285,118886,61833,275,408,6,31650,29478,980,62108,1144,3002,11924,13784,10976,9146,6623,3340,1694,836,53,0 to 110,36,23748,9140,13075,16145,20022,22949,19137,3359,59,1809,45,8,678,62522,29679,31850,62107,414,1,472257,885,535996,473142,62522,678,11595,11367,2601855780.29929,275135.911496092,e33d02e5-646c-40c2-b9d7-442237fbb181,814,8634,9448,0.086155800169348,35
32,32,9,017,CITRUS,Citrus,FL,11626,198,554,1079,1245,1161,1443,1885,1980,1434,643,4,0 to 222,55,6650,4859,117,11584,42,0,1101,4660,119,6523,137,5427,6115,1,83,11502,3775,1621,17,14,2965,2411,20,5396,52,179,571,609,560,717,892,859,661,326,1,0 to 103,55,4413,261,341,381,291,4537,568,380,2,453,4,1,203,5427,2431,2976,5396,31,0,33252,9,38706,33261,5427,203,7315,6888,1565249379.23035,242867.273750112,3c97198a-a027-4923-a8f8-ce1fafd29127,78,828,906,0.0860927152317881,54
33,33,27,053,HERNANDO,Hernando,FL,11389,196,639,1364,1394,1331,1578,1805,1424,1028,628,2,0 to 106,50,6488,4874,27,11344,45,0,924,4963,66,6441,85,5776,5608,0,5,11339,4675,1071,27,4,3102,2627,17,5746,56,243,700,752,714,849,904,735,538,286,0,0 to 101,50,4394,395,712,245,973,4373,400,773,6,621,4,1,240,5777,2635,3124,5746,31,0,40619,15,46440,40634,5777,240,8311,8260,1259956856.20596,200494.167365377,6eb18eb2-9734-45d8-9ba1-42eee8f524af,84,851,935,0.0898395721925134,50
34,34,52,103,PINELLAS,Pinellas,FL,72365,820,1933,7023,10824,9166,10678,12640,10044,5830,3333,74,0 to 120,51,40436,31828,101,71401,964,0,8951,47011,411,33075,1277,36962,35290,1,112,71288,35326,932,683,21,19407,16809,42,36258,474,1454,5022,6905,5097,5470,5553,3536,2042,1406,3,0 to 105,43,24065,5153,3217,3823,4083,24814,7361,4325,49,3029,32,5,943,36962,17108,19810,36258,704,0,283221,275,320658,283496,36962,943,2611,2521,758940582.722305,356104.408630079,9a6ae3e8-4aea-4d85-a26a-0191e0a5371a,521,6520,7041,0.073995171140463,43
35,35,61,121,SUWANNEE,Suwannee,FL,5654,153,345,723,762,822,796,839,598,362,243,11,0 to 118,45,2799,2803,52,5629,25,0,170,1787,110,3361,74,3496,2150,0,8,5621,3190,281,16,9,1453,2006,12,3471,73,180,487,522,576,540,504,318,186,109,1,0 to 102,43,2192,646,473,160,573,2657,241,399,2,191,0,0,87,3496,2013,1471,3471,25,0,10858,0,14403,10858,3496,87,1915,1911,1792465815.52835,223150.095858967,50957d1d-0570-4e74-922c-4ab5f585c01c,19,185,204,0.0931372549019608,43
36,36,16,031,DUVAL,Duval,FL,98698,1972,4687,12990,17984,14665,14496,14613,9873,4855,2382,181,0 to 119,42,53265,44003,1430,97381,1317,0,6502,73766,454,19357,611,49320,49031,12,335,97039,45678,2855,752,35,25657,22293,583,48533,844,2487,8073,10545,7717,7125,6178,3674,1762,877,38,0 to 103,38,17448,14138,5416,11531,4018,28466,16049,2663,47,1435,26,32,676,49320,22683,26024,48533,787,0,340334,545,390455,340879,49320,676,16272,16161,2136692125.83844,339628.979868484,e178a8cf-16fc-449e-abf2-a69cfad303d5,579,6005,6584,0.0879404617253949,38
37,37,34,067,LAFAYETTE,Lafayette,FL,1739,17,32,178,444,392,222,187,131,79,56,1,0 to 119,39,485,1249,5,1739,0,0,19,945,0,1378,8,1381,355,0,3,1736,1319,62,0,0,261,1120,0,1381,8,17,125,404,343,187,144,93,38,22,0,1 to 98,38,961,354,43,23,162,1132,87,67,0,34,0,0,20,1381,1120,261,1381,0,0,1717,0,3111,1717,1381,20,551,551,1417838543.00769,193229.836834708,ffda6c44-8232-4ba9-a8d7-1995d8fd20d3,1,21,22,0.0454545454545455,37
38,38,23,045,GULF,Gulf,FL,2060,55,161,214,266,233,327,364,271,122,47,0,0 to 96,48,999,1055,6,1993,67,0,135,595,1,1071,51,1129,924,0,7,1986,1060,54,15,0,475,637,2,1114,21,61,104,165,149,192,211,144,56,26,0,0 to 96,48,773,292,21,28,44,1012,58,151,3,65,2,0,24,1129,648,479,1114,15,0,5834,54,7023,5888,1129,24,1050,1046,1469866107.27026,258929.917930346,35df54b7-4874-405b-8ef3-9e45948ba616,4,57,61,0.0655737704918033,47
39,39,63,125,UNION,Union,FL,2575,38,150,275,267,344,346,615,402,112,26,0,0 to 118,52,842,1727,6,2575,0,0,329,1112,4,1468,4,1293,1282,0,0,2575,980,313,0,0,388,904,1,1293,16,51,163,176,219,193,259,158,46,12,0,0 to 93,45,896,334,40,23,40,1230,23,72,0,66,0,0,61,1293,904,388,1293,0,0,9296,0,10606,9296,1293,61,1365,1364,646977045.561768,128178.538552252,254bd11b-c8fe-4e18-b61d-a60a5658d980,8,60,68,0.117647058823529,46
40,40,4,007,BRADFORD,Bradford,FL,3299,92,190,417,438,406,476,577,353,224,120,6,0 to 118,47,1833,1453,13,3294,5,0,440,1321,34,1712,4,1533,1763,0,3,3291,1084,446,1,2,766,763,1,1530,25,69,202,228,200,240,280,158,91,40,0,0 to 107,46,1075,326,70,59,42,1417,71,171,0,93,0,0,22,1533,765,767,1530,3,0,7149,2,8703,7151,1533,22,2259,2228,776744615.959412,167178.838252791,588f1d06-056b-4af5-a2e7-a5366c833ba5,13,113,126,0.103174603174603,46
41,41,65,129,WAKULLA,Wakulla,FL,3880,93,395,577,516,548,610,536,371,177,55,2,0 to 102,41,1966,1906,8,3869,11,0,363,1365,13,2457,114,1774,2102,2,2,3865,1635,130,8,1,783,980,2,1765,22,95,273,301,292,321,248,143,62,17,0,0 to 102,41,1276,274,113,102,72,1537,156,169,0,76,1,0,18,1774,982,790,1765,9,0,11905,2,13724,11907,1774,18,2679,2605,1579533632.64177,279225.038340218,72742cee-2b13-49f0-be2b-615f9835dd19,13,244,257,0.0505836575875486,41
42,42,5,009,BREVARD,Brevard,FL,36403,476,1262,3825,4468,4372,5064,6967,5610,3123,1184,52,0 to 119,52,19922,16147,334,36243,160,0,3307,26433,107,14203,693,17444,18945,0,14,36229,16900,390,148,6,9040,7998,252,17290,217,828,2763,2709,2350,2435,2640,1744,1078,674,6,0 to 105,44,9042,1710,1412,5126,1810,9836,5644,2095,19,1281,6,1,473,17444,8063,9123,17290,154,0,139557,13,157099,139570,17444,473,3662,3604,2687643838.87906,793218.333609179,943db4a8-472c-444e-b81a-0e7cf9758ca2,210,2899,3109,0.0675458346735285,44
43,43,53,105,POLK,Polk,FL,50279,1292,2965,6247,7768,7430,7246,6913,5545,3369,1394,110,0 to 119,44,27621,22365,293,50014,265,0,8885,26867,231,22497,829,30628,19557,1,93,49920,27434,3003,168,23,16317,13952,168,30437,636,1800,4554,5330,4907,4513,3853,2654,1633,734,14,0 to 103,40,18995,4830,3030,3582,9882,16477,4078,4388,36,3091,29,2,721,30628,14038,16422,30437,191,0,172359,78,203202,172437,30628,721,14188,13631,5206715917.89822,388118.956177661,233f5cac-222a-4ee3-81fe-76bb2a2139f5,263,2881,3144,0.0836513994910941,40
44,44,49,097,OSCEOLA,Osceola,FL,35696,713,2514,4760,5908,5921,5822,4636,3127,1540,578,177,0 to 155,41,19251,16242,203,35337,359,0,5448,17915,390,14614,531,21056,14534,2,104,35231,19802,982,248,24,10940,9715,129,20784,417,1395,3277,3957,3763,3512,2309,1404,717,294,11,0 to 105,38,8592,1265,6552,4375,11941,4830,4013,1864,20,1003,11,2,266,21056,9859,11060,20784,272,0,117403,88,138691,117491,21056,266,12081,11578,3899316052.50861,350452.549474464,98fbcdad-181a-4269-a498-787173f6e740,232,2308,2540,0.0913385826771654,39
45,45,28,055,HIGHLANDS,Highlands,FL,8652,188,452,798,980,893,1040,1247,1356,1142,545,11,0 to 119,54,4895,3701,56,8556,96,0,829,4521,47,3826,178,4233,4384,0,35,8522,3784,417,32,0,2279,1906,16,4201,51,184,480,543,487,556,611,609,510,201,1,0 to 99,52,2687,448,542,524,972,2581,648,707,11,401,7,3,180,4233,1926,2289,4201,32,0,25669,63,29975,25732,4233,180,4369,4256,2866885704.30579,296636.719911829,0861b99e-575f-41b4-992b-839b0b3f4f63,57,543,600,0.095,51
46,46,36,071,LEE,Lee,FL,60491,923,2673,7454,8438,8006,8522,9135,8160,4976,2123,81,0 to 119,48,33120,26924,447,58789,1701,1,3613,42768,613,18866,549,33829,26569,2,91,58699,31557,1469,786,17,17291,15428,307,33026,535,1406,5291,5573,4876,4969,4738,3512,1998,911,20,0 to 103,43,17930,2839,2488,9769,7198,15733,10095,3157,59,1817,44,13,610,33829,15854,17648,33025,803,1,187565,939,222479,188504,33829,610,15922,14331,2112333669.17714,583283.842331616,d113537a-ba7a-4d3b-936c-ea742824206c,386,4425,4811,0.0802327998337144,42
47,47,11,021,COLLIER,Collier,FL,35127,832,1806,4344,4605,4590,5018,5180,4547,3099,1090,16,0 to 105,48,18433,16589,105,34381,746,0,3729,19818,356,16046,744,19684,15320,3,120,34261,18258,959,391,76,9727,9416,74,19217,426,960,3016,3060,2914,3073,2791,1845,1121,474,4,0 to 105,43,10809,1021,2024,5363,6552,7501,5164,1868,37,1165,20,8,306,19684,9664,9943,19217,467,0,97481,280,117578,97761,19684,306,11532,10541,5197102107.68439,580181.883282756,b407dcd0-fa26-4ba4-bfdb-b31c63c940ba,181,1873,2054,0.0881207400194742,42
48,48,13,025,DADE,Dade,FL,396902,7150,17473,47677,69407,64092,68653,57808,34818,19049,9917,858,0 to 225,43,205975,188731,2196,392849,4052,1,27650,286206,2785,68472,2048,253404,142747,75,676,392100,248535,2049,2796,23,128342,120997,1245,250584,4787,12536,36175,47938,41857,43190,33389,18211,9926,5078,316,0 to 120,40,123621,19841,38526,68596,142594,41072,66918,17462,137,8801,63,23,3959,253403,122473,129593,250583,2819,1,1147940,1250,1404543,1149190,253403,3959,57881,57156,5114451079.58835,540836.793924443,aea3ae00-e34e-48c0-8b01-466a26b4b1e0,2113,24607,26720,0.0790793413173653,41
49,49,44,087,MONROE,Monroe,FL,9013,221,400,916,1450,1365,1508,1512,1040,449,150,2,0 to 101,46,4574,4387,52,8799,214,0,1926,3280,83,3767,284,3770,5168,0,75,8729,3531,109,125,5,1753,1869,18,3640,73,146,457,774,658,636,501,333,146,46,0,0 to 100,41,2732,247,132,529,1175,1834,631,425,10,181,7,0,28,3770,1940,1810,3640,130,0,24886,78,28746,24964,3770,28,5251,4978,2629619857.16548,1399292.97354894,629deeae-bcfa-4ad2-8de1-1d764edd7ac6,39,348,387,0.10077519379845,41
50,50,57,113,SANTA ROSA,Santa Rosa,FL,16777,450,1063,2163,2349,2515,2633,2517,1799,911,362,15,0 to 119,44,8631,8046,100,16612,165,0,1296,8330,99,6520,513,8619,8041,0,117,16496,8390,122,107,0,4050,4397,65,8512,136,456,1381,1343,1361,1429,1245,723,391,151,3,0 to 105,42,6140,701,484,1187,353,6797,1362,483,1,473,4,2,110,8619,4437,4113,8512,107,0,40989,58,49708,41047,8619,110,7186,6646,2596863920.94926,364280.718031263,edf59bbc-47af-4b2f-bd97-6dab59dd7b4c,134,635,769,0.174252275682705,41
51,51,66,131,WALTON,Walton,FL,6201,118,296,835,905,976,974,979,627,317,168,6,0 to 101,44,3097,3049,55,5725,476,0,709,3846,15,4102,509,4086,2108,0,7,5718,3477,225,374,10,1732,1948,22,3702,44,183,654,675,707,662,603,350,166,40,2,0 to 101,41,2446,284,159,813,428,2436,838,500,40,171,6,5,40,4086,2135,1927,3702,384,0,17787,95,22007,17882,4086,40,1715,1660,2708101782.46999,370154.781284707,31ca379b-fb64-4c77-9456-056bcf505a65,28,313,341,0.0821114369501466,41
52,52,32,063,JACKSON,Jackson,FL,7120,140,338,777,1201,1199,1164,1009,645,414,231,2,0 to 105,44,3081,3966,73,7053,67,0,205,3690,19,3878,52,4104,2972,0,44,7009,3819,231,50,4,1656,2381,13,4050,47,156,472,729,725,661,565,357,251,141,0,0 to 105,44,2103,766,201,980,128,2479,1443,279,5,244,3,0,102,4104,2407,1684,4050,54,0,17182,13,21314,17195,4104,102,3108,2918,2452499072.79567,223828.324060307,baf89079-8026-4e6b-b424-2dd9bc8af99d,21,456,477,0.0440251572327044,43
53,53,67,133,WASHINGTON,Washington,FL,2768,58,185,297,410,412,442,447,251,180,86,0,0 to 119,45,1364,1383,21,2749,19,0,123,1303,9,1864,23,1636,1115,0,17,2732,1481,138,13,3,688,928,3,1619,16,84,184,299,275,268,235,130,101,43,0,0 to 99,43,1064,308,80,167,47,1155,417,98,3,104,2,0,27,1635,935,697,1619,16,0,6907,4,8570,6911,1635,27,1726,1670,1594396648.51196,243766.072259733,ed919630-6db9-4e1b-b6b4-eafa4d161468,14,98,112,0.125,43
54,54,45,089,NASSAU,Nassau,FL,7826,150,456,1066,946,973,1162,1255,1008,570,237,3,0 to 103,47,4247,3503,76,7445,381,0,656,3649,28,2555,466,3629,4133,0,64,7382,3197,151,274,7,1737,1606,5,3348,40,170,590,515,506,603,550,367,196,92,0,0 to 103,45,2723,269,135,221,128,2872,348,345,18,184,7,1,62,3629,1712,1912,3348,281,0,26035,100,29779,26135,3629,62,4719,4714,1641620662.32831,388721.737801268,4d22d524-13f7-4497-919b-bc6894006209,48,495,543,0.0883977900552486,45
55,55,22,043,GLADES,Glades,FL,988,19,72,119,194,196,145,104,76,54,8,1,0 to 90,39,390,596,2,987,1,0,99,428,3,672,12,713,273,0,2,985,698,14,1,0,235,476,1,712,11,33,80,164,158,110,79,43,30,5,0,0 to 89,39,515,127,38,32,259,418,35,79,0,56,0,0,11,713,477,235,712,1,0,1278,0,1992,1278,713,11,733,674,2551976411.00452,236757.936928168,db14356a-7e77-445a-a524-193dac2519e8,1,15,16,0.0625,38
56,56,8,015,CHARLOTTE,Charlotte,FL,11059,114,235,828,1053,1093,1477,2118,2056,1311,768,6,0 to 119,58,6235,4772,52,10981,78,0,1902,6159,62,4989,148,5923,5101,1,34,10946,5428,434,60,1,3155,2693,14,5862,41,151,575,624,582,768,1126,1039,653,364,0,0 to 101,56,4360,337,438,727,416,4419,1027,645,7,562,6,0,208,5923,2717,3192,5862,61,0,46844,18,52827,46862,5923,208,1067,1048,1825525431.11919,398247.923422686,2c59a1cc-d054-4df6-bef0-43eec4a23784,81,918,999,0.0810810810810811,56
57,57,58,115,SARASOTA,Sarasota,FL,30570,380,1383,3344,3443,3251,4001,4916,4893,3266,1656,37,0 to 119,53,16753,13635,182,29892,678,0,2846,19600,190,11059,347,15527,15012,0,31,29862,14922,163,435,7,8021,6979,85,15085,161,621,2081,2207,1930,2193,2267,1972,1307,784,4,0 to 105,48,9899,920,1336,2930,1901,9014,4170,990,36,943,27,4,427,15527,7209,8233,15085,442,0,130169,237,146002,130406,15527,427,9143,9039,1509311882.53409,264158.506465067,63cf7f11-0e2e-4c45-8079-812f07405f88,177,3302,3479,0.0508766887036505,47
58,58,14,027,DESOTO,Desoto,FL,4699,124,381,560,696,692,726,728,445,248,94,5,0 to 102,43,2011,2593,95,4683,16,0,621,2173,48,2370,68,2578,2108,1,12,4670,2337,231,7,2,966,1594,8,2568,55,170,320,422,432,417,415,201,107,38,0,0 to 97,42,1440,223,168,737,889,854,825,328,1,173,1,1,43,2577,1601,968,2568,9,0,11183,7,13775,11190,2577,43,2414,2281,1654926851.96404,168390.780925558,0d73423d-03c5-4ba5-9bfd-c106f87eb222,14,151,165,0.0848484848484849,41
59,59,18,035,FLAGLER,Flagler,FL,7673,150,365,754,831,950,1090,1333,1193,720,280,7,0 to 119,52,4339,3281,53,7613,60,0,719,4197,37,2886,140,2995,4667,0,11,7602,2577,389,26,3,1585,1367,14,2966,41,187,417,379,397,457,464,372,222,57,2,0 to 96,46,1811,403,476,276,388,2233,345,304,9,205,5,2,46,2995,1381,1600,2966,29,0,27065,31,30112,27096,2995,46,4355,4320,1294754947.55994,220559.838719988,0e4d3c2d-fb56-4a06-8b04-3ad9bff072bc,27,379,406,0.0665024630541872,48
60,60,26,051,HENDRY,Hendry,FL,5112,196,466,778,862,793,694,612,364,210,130,7,0 to 104,38,2533,2567,12,5098,14,0,580,1948,32,2489,66,2714,2389,1,8,5089,2617,85,12,0,1293,1403,6,2702,70,209,428,516,479,389,300,182,98,43,0,0 to 100,37,2061,325,143,173,1658,904,140,423,0,244,0,0,45,2714,1410,1298,2702,12,0,10379,2,13116,10381,2714,45,4566,4143,3080878042.06929,290231.154940413,71664f0e-3199-410f-ad8c-5269ffa55669,20,211,231,0.0865800865800866,37
61,61,31,061,INDIAN RIVER,Indian River,FL,12577,294,802,1507,1364,1296,1559,1841,1819,1218,872,5,0 to 119,51,7258,5278,41,12463,114,0,1110,6201,77,6591,281,5456,7063,0,58,12406,5330,72,52,2,2919,2463,20,5402,92,293,860,781,660,735,750,627,400,257,1,0 to 105,45,3528,555,439,880,1093,3293,1016,820,12,457,6,0,144,5456,2498,2938,5402,54,0,48812,68,54366,48880,5456,144,5632,5165,1319798862.49319,234087.653130679,193731ca-a50a-4707-8eb3-d6585d669c9c,40,843,883,0.0453001132502831,45
