"X1","X2","X3","X4"
"Voter Registration and Turnout","Voter Registration and Turnout","Voter Registration and Turnout","Voter Registration and Turnout"
"County","Voter Reg","Turnout","%Turnout"
"Alachua","163,361","138,156","84.6%"
"Baker","19,097","15,054","78.8%"
"Bay","132,891","98,676","74.3%"
"Bradford","18,334","14,017","76.5%"
"Brevard","443,256","365,375","82.4%"
"Broward","1,143,456","882,481","77.2%"
"Calhoun","8,288","6,474","78.1%"
"Charlotte","155,162","124,838","80.5%"
"Citrus","119,606","98,995","82.8%"
"Clay","155,957","127,910","82.0%"
"Collier","264,077","219,029","82.9%"
"Columbia","41,979","33,847","80.6%"
"Desoto","19,709","12,610","64.0%"
"Dixie","11,187","8,229","73.6%"
"Duval","649,927","476,074","73.3%"
"Escambia","214,647","164,389","76.6%"
"Flagler","96,751","80,718","83.4%"
"Franklin","7,257","6,829","94.1%"
"Gadsden","27,296","22,047","80.8%"
"Gilchrist","13,236","10,765","81.3%"
"Glades","7,050","5,335","75.7%"
"Gulf","11,367","8,789","77.3%"
"Hamilton","7,144","5,789","81.0%"
"Hardee","13,078","8,213","62.8%"
"Hendry","16,139","13,557","84.0%"
"Hernando","143,583","111,628","77.7%"
"Highlands","63,941","52,301","81.8%"
"Hillsborough","857,714","679,041","79.2%"
"Holmes","10,161","9,168","90.2%"
"Indian River","120,880","100,155","82.9%"
"Jackson","27,076","22,243","82.2%"
"Jefferson","10,012","8,592","85.8%"
"Lafayette","4,359","3,786","86.9%"
"Lake","254,949","228,792","89.7%"
"Lee","490,633","396,903","80.9%"
"Leon","195,598","158,906","81.2%"
"Levy","29,855","24,566","82.3%"
"Liberty","4,633","3,514","75.8%"
"Madison","12,112","9,233","76.2%"
"Manatee","281,798","232,789","82.6%"
"Marion","265,806","215,799","81.2%"
"Martin","116,727","99,481","85.2%"
"Miami-Dade","1,525,443","1,104,596","72.4%"
"Monroe","52,043","44,791","86.1%"
"Nassau","77,477","66,250","85.5%"
"Okaloosa","151,053","114,820","76.0%"
"Okeechobee","20,483","16,146","78.8%"
"Orange","836,940","613,491","73.3%"
"Osceola","234,462","174,380","74.4%"
"Palm Beach","895,929","753,351","84.1%"
"Pasco","401,105","321,347","80.1%"
"Pinellas","641,436","522,789","81.5%"
"Polk","460,251","352,176","76.5%"
"Putnam","45,378","36,531","80.5%"
"Santa Rosa","143,036","113,411","79.3%"
"Sarasota","333,464","281,052","84.3%"
"Seminole","351,038","256,630","73.1%"
"St. Johns","230,160","199,746","86.8%"
"St. Lucie","242,944","186,868","76.9%"
"Sumter","125,893","106,259","84.4%"
"Suwannee","26,955","22,049","81.8%"
"Taylor","11,067","10,058","90.9%"
"Union","7,429","6,272","84.4%"
"Volusia","384,343","313,380","81.5%"
"Wakulla","23,712","20,018","84.4%"
"Walton","60,306","50,045","83.0%"
"Washington","16,732","12,660","75.7%"
"Total","13,949,168","11,004,209","78.9%"
